year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,perc_total_points,rank_tm,amount_trophy,victories_20g,goals_diff_20g
2003,2,Santos,87,46,25,12,9,93,60,33,"76,32",0,7,0,0
2003,3,Sao Paulo,78,46,22,12,12,81,67,14,"68,42",0,3,0,0
2003,8,Flamengo,66,46,18,12,16,66,73,-7,"57,89",0,5,0,0
2003,15,Corinthians,59,46,15,12,19,61,63,-2,"51,75",0,3,0,0
2004,1,Santos,89,46,27,8,11,103,58,45,"78,07",0,8,0,0
2004,3,Sao Paulo,82,46,24,10,12,78,43,35,"71,93",0,0,0,0
2004,4,Palmeiras,79,46,22,13,11,72,47,25,"69,3",0,8,0,0
2004,5,Corinthians,74,46,20,14,12,54,54,0,"64,91",0,0,0,0
2004,17,Flamengo,54,46,13,15,18,51,53,-2,"47,37",0,0,0,0
2005,1,Corinthians,81,42,24,9,9,87,59,28,"71,05",0,0,0,0
2005,4,Palmeiras,70,42,20,10,12,81,65,16,"61,4",0,8,0,0
2005,10,Santos,59,42,16,11,15,68,71,-3,"51,75",0,8,0,0
2005,11,Sao Paulo,58,42,16,10,16,77,67,10,"50,88",0,0,0,0
2005,15,Flamengo,55,42,14,13,15,56,60,-4,"48,25",0,0,0,0
2006,1,Sao Paulo,78,38,22,12,4,66,32,34,"68,42",0,0,0,0
2006,4,Santos,64,38,18,10,10,58,36,22,"56,14",0,8,0,0
2006,9,Corinthians,53,38,15,8,15,41,46,-5,"46,49",0,0,0,0
2006,11,Flamengo,52,38,15,7,16,44,48,4,"45,61",0,0,0,0
2006,16,Palmeiras,44,38,12,8,18,58,70,-12,"38,6",0,8,0,0
2007,1,Sao Paulo,77,38,23,8,7,55,19,36,"67,54",0,0,0,0
2007,2,Santos,62,38,19,5,14,57,47,10,"54,39",0,8,0,0
2007,3,Flamengo,61,38,17,10,11,55,49,6,"53,51",0,0,0,0
2007,7,Palmeiras,58,38,16,10,12,48,47,1,"50,88",0,8,0,0
2007,17,Corinthians,44,38,10,14,14,40,50,-10,"38,6",0,0,0,0
2008,1,Sao Paulo,75,38,21,12,5,66,36,30,"65,79",0,0,0,0
2008,3,Cruzeiro,67,38,21,4,13,59,44,15,"58,77",0,0,0,0
2008,4,Palmeiras,65,38,19,8,11,55,45,10,"57,02",0,8,0,0
2008,5,Flamengo,64,38,18,10,10,67,48,19,"56,14",0,0,0,0
2008,15,Santos,45,38,11,12,15,44,53,-9,"39,47",0,8,0,0
2009,1,Flamengo,67,38,19,10,9,58,44,14,"58,77",0,0,0,0
2009,3,Sao Paulo,65,38,18,11,9,57,42,15,"57,02",0,0,0,0
2009,5,Palmeiras,62,38,17,11,10,58,45,13,"54,39",0,8,0,0
2009,10,Corinthians,52,38,14,10,14,50,54,-4,"45,61",0,0,0,0
2009,12,Santos,49,38,12,13,13,58,58,0,"42,98",0,8,0,0
2010,3,Corinthians,68,38,19,11,8,65,41,24,"59,65",0,0,0,0
2010,8,Santos,56,38,15,11,12,63,50,13,"49,12",0,8,0,0
2010,9,Sao Paulo,55,38,15,10,13,54,54,0,"48,25",0,0,0,0
2010,10,Palmeiras,50,38,12,14,12,42,43,-1,"43,86",0,8,0,0
2010,14,Flamengo,44,38,9,17,12,41,44,-3,"38,6",0,0,0,0
2011,1,Corinthians,71,38,21,8,9,53,36,17,"62,28",0,0,0,0
2011,4,Flamengo,61,38,15,16,7,59,47,12,"53,51",0,0,0,0
2011,6,Sao Paulo,59,38,16,11,11,57,46,11,"51,75",0,0,0,0
2011,10,Santos,53,38,15,8,15,55,55,0,"46,49",0,8,0,0
2011,11,Palmeiras,50,38,11,17,10,43,39,4,"43,86",0,8,0,0
2012,4,Sao Paulo,66,38,20,6,12,59,37,22,"57,89",0,0,0,0
2012,6,Corinthians,57,38,15,12,11,51,39,12,50,0,0,0,0
2012,8,Santos,53,38,13,14,11,50,44,6,"46,49",0,8,0,0
2012,11,Flamengo,50,38,12,14,12,39,46,-7,"43,86",0,0,0,0
2012,18,Palmeiras,34,38,9,7,22,39,54,-15,"29,82",0,8,0,0
2013,7,Santos,57,38,15,12,11,51,38,13,50,0,8,0,0
2013,9,Sao Paulo,50,38,14,8,16,39,40,-1,"43,86",0,0,0,0
2013,10,Corinthians,50,38,11,17,10,27,22,5,"43,86",0,0,0,0
2013,16,Flamengo,45,38,12,13,13,43,46,-3,"39,47",0,0,0,0
2014,2,Sao Paulo,70,38,20,10,8,59,40,19,"61,4",0,0,0,0
2014,4,Corinthians,69,38,19,12,7,49,31,18,"60,53",0,0,0,0
2014,9,Santos,53,38,15,8,15,42,35,7,"46,49",0,8,0,0
2014,10,Flamengo,52,38,14,10,14,46,47,-1,"45,61",0,0,0,0
2014,16,Palmeiras,40,38,11,7,20,34,59,-25,"35,09",0,8,0,0
2015,1,Corinthians,81,38,24,9,5,71,31,40,"71,05",0,0,0,0
2015,4,Sao Paulo,62,38,18,8,12,53,47,6,"54,39",0,0,0,0
2015,7,Santos,58,38,16,10,12,59,41,18,"50,88",0,8,0,0
2015,9,Palmeiras,53,38,15,8,15,60,51,9,"46,49",0,8,0,0
2015,12,Flamengo,49,38,15,4,19,45,53,-8,"42,98",0,0,0,0
2016,1,Palmeiras,80,38,24,8,6,62,32,30,"70,18",0,9,0,0
2016,2,Santos,71,38,22,5,11,59,35,24,"62,28",0,8,0,0
2016,3,Flamengo,71,38,20,11,7,52,35,17,"62,28",0,0,0,0
2016,7,Corinthians,55,38,15,10,13,48,42,6,"48,25",0,0,0,0
2016,10,Sao Paulo,52,38,14,10,14,44,36,8,"45,61",0,0,0,0
2017,1,Corinthians,72,38,21,9,8,50,30,20,"63,16",0,0,0,0
2017,2,Palmeiras,63,38,19,6,13,61,45,16,"55,26",0,9,0,0
2017,3,Santos,63,38,17,12,9,42,32,10,"55,26",0,8,0,0
2017,6,Flamengo,56,38,15,11,12,49,38,11,"49,12",0,0,0,0
2017,13,Sao Paulo,50,38,13,11,14,48,49,-1,"43,86",0,0,0,0
2018,1,Palmeiras,80,38,23,11,4,64,26,38,"70,18",0,10,0,0
2018,2,Flamengo,72,38,21,9,8,59,29,30,"63,16",0,0,0,0
2018,5,Sao Paulo,63,38,16,15,7,46,34,12,"55,26",0,0,0,0
2018,10,Santos,50,38,13,11,14,46,40,6,"43,86",0,8,0,0
2018,13,Corinthians,44,38,11,11,16,34,35,-1,"38,6",0,0,0,0
2019,1,Flamengo,90,38,28,6,4,86,33,53,"78,95",0,0,0,0
2019,2,Santos,74,38,22,8,8,60,33,27,"64,91",0,8,0,0
2019,3,Palmeiras,74,38,21,11,6,61,32,29,"64,91",0,10,0,0
2019,6,Sao Paulo,63,38,17,12,9,39,30,9,"55,26",0,0,0,0
2019,8,Corinthians,56,38,14,14,10,42,34,8,"49,12",0,0,0,0
2020,1,Flamengo,71,38,21,8,9,68,48,20,"62,28",0,0,0,0
2020,4,Sao Paulo,66,38,18,12,8,59,41,18,"57,89",0,0,0,0
2020,7,Palmeiras,58,38,15,13,10,51,37,14,"50,88",0,10,0,0
2020,8,Santos,54,38,14,12,12,52,51,1,"47,37",0,8,0,0
2020,12,Corinthians,51,38,13,12,13,45,45,0,"44,74",0,0,0,0
2021,2,Flamengo,71,38,21,8,9,69,36,33,"62,28","6,041",0,0,0
2021,3,Palmeiras,66,38,20,6,12,58,43,15,"57,89","8,503",10,0,0
2021,5,Corinthians,57,38,15,12,11,40,36,4,50,"2,526",0,0,0
2021,10,Santos,50,38,12,14,12,35,40,-5,"43,86","4,517",8,0,0
2021,13,Sao Paulo,48,38,11,15,12,31,39,-8,"42,11","4,038",0,0,0
2022,1,Palmeiras,81,38,23,12,3,66,27,39,"71,05","9,095",11,24,13
2022,4,Corinthians,65,38,18,11,9,44,36,8,"57,02","2,096",7,9,10
2022,5,Flamengo,62,38,18,8,12,60,39,21,"54,39","8,603",8,9,8
2022,9,Sao Paulo,54,38,13,15,10,55,42,13,"47,37","4,741",6,15,12
2022,12,Santos,47,38,12,11,15,44,41,3,"41,23","4,433",8,-7,5